"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 20 12:30:15 BDT 2021","Sun Jun 20 12:30:22 BDT 2021","6812","","Testing Bikroy.com","","Testing Bikroy.com","TC-013 Show to product details","TC-013 Show to product details",""
"passed","Sun Jun 20 12:29:23 BDT 2021","Sun Jun 20 12:29:28 BDT 2021","5558","","Testing Bikroy.com","","Testing Bikroy.com","TC-004 Invalid Password","TC-004 Invalid Password",""
"passed","Sun Jun 20 12:29:35 BDT 2021","Sun Jun 20 12:29:42 BDT 2021","6527","","Testing Bikroy.com","","Testing Bikroy.com","TC-006 Show all urgent ads","TC-006 Show all urgent ads",""
"passed","Sun Jun 20 12:30:05 BDT 2021","Sun Jun 20 12:30:10 BDT 2021","5183","","Testing Bikroy.com","","Testing Bikroy.com","TC-010 Search and count number of ads","TC-010 Search and count number of ads",""
"passed","Sun Jun 20 12:29:28 BDT 2021","Sun Jun 20 12:29:35 BDT 2021","7166","","Testing Bikroy.com","","Testing Bikroy.com","TC-005 Show all ads","TC-005 Show all ads",""
"passed","Sun Jun 20 12:30:54 BDT 2021","Sun Jun 20 12:31:01 BDT 2021","7698","","Testing Bikroy.com","","Testing Bikroy.com","TC-019 Show to favorites product list","TC-019 Show to favorites product list",""
"passed","Sun Jun 20 12:31:01 BDT 2021","Sun Jun 20 12:31:03 BDT 2021","1593","","Testing Bikroy.com","","Testing Bikroy.com","TC-020 Assert Browse our top category","TC-020 Assert Browse our top category",""
"passed","Sun Jun 20 12:26:30 BDT 2021","Sun Jun 20 12:26:39 BDT 2021","8057","","Testing Bikroy.com","","Testing Bikroy.com","TC-008 Show ads by location","TC-008 Show ads by location",""
"passed","Sun Jun 20 12:29:42 BDT 2021","Sun Jun 20 12:29:49 BDT 2021","7409","","Testing Bikroy.com","","Testing Bikroy.com","TC-007 Display ads by Category 'Mobile'","TC-007 Display ads by Category 'Mobile'",""
"passed","Sun Jun 20 12:29:57 BDT 2021","Sun Jun 20 12:30:05 BDT 2021","8361","","Testing Bikroy.com","","Testing Bikroy.com","TC-009 Ads Search","TC-009 Ads Search",""
"passed","Sun Jun 20 12:31:03 BDT 2021","Sun Jun 20 12:31:18 BDT 2021","14543","","Testing Bikroy.com","","Testing Bikroy.com","TC-021 Open all Browse our top category link","TC-021 Open all Browse our top category link",""
"passed","Sun Jun 20 12:29:49 BDT 2021","Sun Jun 20 12:29:56 BDT 2021","7184","","Testing Bikroy.com","","Testing Bikroy.com","TC-008 Display ads by Location 'Dhaka'","TC-008 Display ads by Location 'Dhaka'",""
"passed","Sun Jun 20 12:30:22 BDT 2021","Sun Jun 20 12:30:32 BDT 2021","9689","","Testing Bikroy.com","","Testing Bikroy.com","TC-014 Show phone number","TC-014 Show phone number",""
"passed","Sun Jun 20 12:30:41 BDT 2021","Sun Jun 20 12:30:54 BDT 2021","12774","","Testing Bikroy.com","","Testing Bikroy.com","TC-018 Add product on Favorites","TC-018 Add product on Favorites",""
"broken","Sun Jun 20 12:30:10 BDT 2021","Sun Jun 20 12:30:15 BDT 2021","4846","","Testing Bikroy.com","","Testing Bikroy.com","TC-011 Get lowest price","TC-011 Get lowest price",""
"passed","Sun Jun 20 12:29:09 BDT 2021","Sun Jun 20 12:29:14 BDT 2021","5129","","Testing Bikroy.com","","Testing Bikroy.com","TC-001: Open Bikroy Site in Browser","TC-001: Open Bikroy Site in Browser",""
"passed","Sun Jun 20 12:26:23 BDT 2021","Sun Jun 20 12:26:30 BDT 2021","7013","","Testing Bikroy.com","","Testing Bikroy.com","TC-007 Display ads by Category","TC-007 Display ads by Category",""
"passed","Sun Jun 20 12:30:32 BDT 2021","Sun Jun 20 12:30:41 BDT 2021","9264","","Testing Bikroy.com","","Testing Bikroy.com","TC-015 Assert product description","TC-015 Assert product description",""
"passed","Sun Jun 20 12:29:15 BDT 2021","Sun Jun 20 12:29:23 BDT 2021","8078","","Testing Bikroy.com","","Testing Bikroy.com","TC-003 Login","TC-003 Login",""
